Development,adams,garcia,wiley,total.x,total8,adams8,adams_share,garcia_wiley_share,adams_final_share,cuomo,mamdani,total.y,cuomo_share,mamdani_share,mod_difference,prog_difference,final_to_first,vote_diff
Baruch/Wald/Riis,542,189,218,1472,1472,730,0.36820652173913043,0.2764945652173913,0.49592391304347827,964,762,2029,0.4751108920650567,0.3755544603252834,-0.10690437032592626,-0.099059895107892093,0.02081302097842158,-557
Douglass,311,109,171,841,841,431,0.3697978596908442,0.3329369797859691,0.5124851367419738,318,189,616,0.5162337662337663,0.3068181818181818,-0.14643590654292205,0.026118797967787266,-0.0037486294917924434,225
East River,129,29,47,297,297,170,0.43434343434343436,0.2558922558922559,0.5723905723905723,221,203,500,0.442,0.406,-0.007656565656565639,-0.15010774410774413,0.13039057239057233,-203
Forest,190,18,57,362,362,235,0.5248618784530387,0.20718232044198895,0.649171270718232,264,97,418,0.631578947368421,0.23205741626794257,-0.10671706891538235,-0.024875095825953625,0.01759232334981098,-56
Grant,379,129,152,955,955,493,0.3968586387434555,0.2942408376963351,0.5162303664921466,351,258,718,0.48885793871866295,0.3593314763231198,-0.09199929997520745,-0.06509063862678471,0.027372427773483643,237
Howard,140,6,23,196,196,164,0.7142857142857143,0.14795918367346939,0.8367346938775511,70,34,121,0.5785123966942148,0.2809917355371901,0.13577331759149946,-0.1330325518637207,0.2582222971833362,75
Ingersoll,390,112,211,913,913,503,0.42716319824753557,0.3537787513691128,0.5509309967141293,200,102,368,0.5434782608695652,0.27717391304347827,-0.11631506262202962,0.07660483832563453,0.0074527358445640735,545
Morris,680,51,119,1160,1160,826,0.5862068965517241,0.14655172413793102,0.7120689655172414,527,307,918,0.5740740740740741,0.3344226579520697,0.012132822477650018,-0.1878709338141387,0.13799489144316734,242
Nostrand,113,6,20,193,193,145,0.5854922279792746,0.13471502590673576,0.7512953367875648,115,62,201,0.572139303482587,0.30845771144278605,0.013352924496687568,-0.1737426855360503,0.17915603330497776,-8
Patterson,195,20,52,376,376,241,0.5186170212765957,0.19148936170212766,0.6409574468085106,235,206,508,0.4625984251968504,0.40551181102362205,0.0560185960797453,-0.2140224493214944,0.17835902161166023,-132
Pomonok,354,86,116,874,874,494,0.40503432494279173,0.2311212814645309,0.5652173913043478,376,222,697,0.539454806312769,0.31850789096126253,-0.13442048136997725,-0.08738660949673163,0.025762584991578796,177
Queensbridge,501,38,125,877,877,632,0.5712656784492588,0.18586088939566706,0.7206385404789054,354,176,605,0.5851239669421487,0.2909090909090909,-0.013858288492889947,-0.10504820151342384,0.13551457353675667,272
Ravenswood,304,31,71,569,569,389,0.5342706502636204,0.17926186291739896,0.6836555360281195,218,145,420,0.5190476190476191,0.34523809523809523,0.015223031216001326,-0.16597623232069628,0.16460791698050037,149
Red Hook,388,154,255,1013,1013,477,0.3830207305034551,0.403751233958539,0.47087857847976305,330,428,939,0.3514376996805112,0.45580404685835996,0.03158303082294389,-0.052052812899820944,0.11944087879925186,74
Smith,137,120,97,805,805,216,0.1701863354037267,0.26956521739130435,0.2683229813664596,328,215,679,0.48306332842415317,0.3166421207658321,-0.3128769930204265,-0.047076903374527745,-0.21474034705769357,126
Wagner,245,35,71,486,486,320,0.5041152263374485,0.21810699588477367,0.6584362139917695,307,304,712,0.4311797752808989,0.42696629213483145,0.07293545105654964,-0.20885929625005778,0.22725643871087065,-226
Washington,168,63,103,503,503,246,0.33399602385685884,0.33001988071570576,0.48906560636182905,305,369,790,0.3860759493670886,0.4670886075949367,-0.052079925510229774,-0.13706872687923094,0.10298965699474044,-287
